experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path,processing_time_min
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-08 06:40:00,success,2024-12-08 05:51:00,iPSsimulation/results/2024-11-13_real_round3/step_00000415/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,21,120,LabwareRefill,2024-12-08 07:00:00,success,2024-12-07 07:50:00,iPSsimulation/results/2024-11-13_real_round3/step_00000416/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-09 04:54:00,success,2024-12-08 05:15:00,iPSsimulation/results/2024-11-13_real_round3/step_00000417/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-09 05:04:00,success,2024-12-09 05:23:00,iPSsimulation/results/2024-11-13_real_round3/step_00000418/result.csv,20
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-09 05:27:00,success,2024-12-09 05:32:00,iPSsimulation/results/2024-11-13_real_round3/step_00000419/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-09 05:37:00,success,2024-12-09 05:40:00,iPSsimulation/results/2024-11-13_real_round3/step_00000420/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-09 05:44:00,success,2024-12-09 05:48:00,iPSsimulation/results/2024-11-13_real_round3/step_00000421/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-09 05:54:00,success,2024-12-09 05:54:00,iPSsimulation/results/2024-11-13_real_round3/step_00000422/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,22,120,LabwareRefill,2024-12-09 07:00:00,success,2024-12-09 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000423/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-10 05:30:00,success,2024-12-10 05:42:00,iPSsimulation/results/2024-11-13_real_round3/step_00000425/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-10 05:40:00,success,2024-12-10 05:59:00,iPSsimulation/results/2024-11-13_real_round3/step_00000426/result.csv,20
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-10 05:59:00,success,2024-12-10 06:10:00,iPSsimulation/results/2024-11-13_real_round3/step_00000427/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-10 06:09:00,success,2024-12-10 06:26:00,iPSsimulation/results/2024-11-13_real_round3/step_00000428/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-10 06:26:00,success,2024-12-10 06:38:00,iPSsimulation/results/2024-11-13_real_round3/step_00000429/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-10 06:36:00,success,2024-12-10 06:54:00,iPSsimulation/results/2024-11-13_real_round3/step_00000430/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,23,120,LabwareRefill,2024-12-10 07:00:00,success,2024-12-10 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000431/result.csv,120
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,2024-12-10 14:35:00,success,2024-12-10 14:51:00,iPSsimulation/results/2024-11-13_real_round3/step_00000432/result.csv,20
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,2024-12-10 15:55:00,success,2024-12-10 16:06:00,iPSsimulation/results/2024-11-13_real_round3/step_00000433/result.csv,10
IPSExperiment,iPS_Experiment_4,1,2,80,iPSPassage,2024-12-10 16:05:00,success,2024-12-10 17:22:00,iPSsimulation/results/2024-11-13_real_round3/step_00000434/result.csv,80
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,2024-12-11 05:55:00,success,2024-12-11 06:05:00,iPSsimulation/results/2024-11-13_real_round3/step_00000435/result.csv,10
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,2024-12-11 06:05:00,success,2024-12-11 06:22:00,iPSsimulation/results/2024-11-13_real_round3/step_00000436/result.csv,20
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,2024-12-11 06:30:00,success,2024-12-11 06:41:00,iPSsimulation/results/2024-11-13_real_round3/step_00000437/result.csv,10
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-11 06:40:00,success,2024-12-11 06:57:00,iPSsimulation/results/2024-11-13_real_round3/step_00000438/result.csv,20
