experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28881650,success,28881660,iPSsimulation/results/2024-11-13_real_round3/step_00000329/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28881660,success,28881676,iPSsimulation/results/2024-11-13_real_round3/step_00000330/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28881680,success,28881690,iPSsimulation/results/2024-11-13_real_round3/step_00000331/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28881690,success,28881706,iPSsimulation/results/2024-11-13_real_round3/step_00000332/result.csv
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28882028,success,28882038,iPSsimulation/results/2024-11-13_real_round3/step_00000333/result.csv
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28882038,success,28882055,iPSsimulation/results/2024-11-13_real_round3/step_00000334/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28882085,success,28882096,iPSsimulation/results/2024-11-13_real_round3/step_00000335/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28882095,success,28882112,iPSsimulation/results/2024-11-13_real_round3/step_00000336/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,13,120,LabwareRefill,28882500,success,28882500,iPSsimulation/results/2024-11-13_real_round3/step_00000337/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28882800,success,28882811,iPSsimulation/results/2024-11-13_real_round3/step_00000338/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28882810,success,28882827,iPSsimulation/results/2024-11-13_real_round3/step_00000339/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28883101,success,28883112,iPSsimulation/results/2024-11-13_real_round3/step_00000340/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28883111,success,28883128,iPSsimulation/results/2024-11-13_real_round3/step_00000341/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28883131,success,28883142,iPSsimulation/results/2024-11-13_real_round3/step_00000342/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28883141,success,28883158,iPSsimulation/results/2024-11-13_real_round3/step_00000343/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,14,120,LabwareRefill,28883940,success,28884394,iPSsimulation/results/2024-11-13_real_round3/step_00000346/result.csv
IPSExperiment,iPS_Experiment_3,2,0,20,iPSPlateCoating,28884423,success,28884439,iPSsimulation/results/2024-11-13_real_round3/step_00000349/result.csv
IPSExperiment,iPS_Experiment_3,1,1,10,iPSGetImage,28884503,success,28884513,iPSsimulation/results/2024-11-13_real_round3/step_00000352/result.csv
IPSExperiment,iPS_Experiment_3,1,2,80,iPSPassage,28884513,success,28884600,iPSsimulation/results/2024-11-13_real_round3/step_00000353/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28884600,success,28884612,iPSsimulation/results/2024-11-13_real_round3/step_00000354/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28884610,success,28884628,iPSsimulation/results/2024-11-13_real_round3/step_00000355/result.csv
IPSExperiment,iPS_Experiment_2,4,0,20,iPSPlateCoating,28884628,success,28884645,iPSsimulation/results/2024-11-13_real_round3/step_00000356/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28884648,success,28884658,iPSsimulation/results/2024-11-13_real_round3/step_00000357/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28884658,success,28884675,iPSsimulation/results/2024-11-13_real_round3/step_00000358/result.csv
IPSExperiment,iPS_Experiment_0,2,0,10,iPSGetImage,28884675,success,28884686,iPSsimulation/results/2024-11-13_real_round3/step_00000359/result.csv
IPSExperiment,iPS_Experiment_0,2,1,20,iPSMediumChange,28884685,success,28884703,iPSsimulation/results/2024-11-13_real_round3/step_00000360/result.csv
IPSExperiment,iPS_Experiment_2,1,1,10,iPSGetImage,28884708,success,28884718,iPSsimulation/results/2024-11-13_real_round3/step_00000361/result.csv
IPSExperiment,iPS_Experiment_2,1,2,80,iPSPassage,28884718,success,28884795,iPSsimulation/results/2024-11-13_real_round3/step_00000362/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,15,120,LabwareRefill,28885380,success,28885380,iPSsimulation/results/2024-11-13_real_round3/step_00000363/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28885964,success,28885975,iPSsimulation/results/2024-11-13_real_round3/step_00000364/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28885974,success,28885991,iPSsimulation/results/2024-11-13_real_round3/step_00000365/result.csv
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28886099,success,28886109,iPSsimulation/results/2024-11-13_real_round3/step_00000366/result.csv
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28886109,success,28886126,iPSsimulation/results/2024-11-13_real_round3/step_00000367/result.csv
IPSExperiment,iPS_Experiment_0,2,0,10,iPSGetImage,28886127,success,28886138,iPSsimulation/results/2024-11-13_real_round3/step_00000368/result.csv
IPSExperiment,iPS_Experiment_0,2,1,20,iPSMediumChange,28886137,success,28886154,iPSsimulation/results/2024-11-13_real_round3/step_00000369/result.csv
IPSExperiment,iPS_Experiment_2,2,0,10,iPSGetImage,28886159,success,28886169,iPSsimulation/results/2024-11-13_real_round3/step_00000370/result.csv
IPSExperiment,iPS_Experiment_2,2,1,20,iPSMediumChange,28886169,success,28886186,iPSsimulation/results/2024-11-13_real_round3/step_00000371/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,16,120,LabwareRefill,28886820,success,28886820,iPSsimulation/results/2024-11-13_real_round3/step_00000372/result.csv
IPSExperiment,iPS_Experiment_0,4,0,20,iPSPlateCoating,28887145,success,28887161,iPSsimulation/results/2024-11-13_real_round3/step_00000373/result.csv
IPSExperiment,iPS_Experiment_0,4,1,10,iPSGetImage,28887225,success,28887236,iPSsimulation/results/2024-11-13_real_round3/step_00000374/result.csv
IPSExperiment,iPS_Experiment_0,4,2,80,iPSPassage,28887235,success,28887312,iPSsimulation/results/2024-11-13_real_round3/step_00000375/result.csv
IPSExperiment,iPS_Experiment_3,1,2,10,iPSGetImage,28887434,success,28887445,iPSsimulation/results/2024-11-13_real_round3/step_00000376/result.csv
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28887550,success,28887560,iPSsimulation/results/2024-11-13_real_round3/step_00000377/result.csv
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28887560,success,28887577,iPSsimulation/results/2024-11-13_real_round3/step_00000378/result.csv
IPSExperiment,iPS_Experiment_2,1,2,10,iPSGetImage,28887629,success,28887640,iPSsimulation/results/2024-11-13_real_round3/step_00000379/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,17,120,LabwareRefill,28888260,success,28888260,iPSsimulation/results/2024-11-13_real_round3/step_00000380/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28888677,success,28888688,iPSsimulation/results/2024-11-13_real_round3/step_00000381/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28888687,success,28888704,iPSsimulation/results/2024-11-13_real_round3/step_00000382/result.csv
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28889480,success,28889490,iPSsimulation/results/2024-11-13_real_round3/step_00000387/result.csv
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,28889480,success,28889490,iPSsimulation/results/2024-11-13_real_round3/step_00000387/result.csv
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,28889490,success,28889509,iPSsimulation/results/2024-11-13_real_round3/step_00000389/result.csv
IPSExperiment,iPS_Experiment_2,2,0,10,iPSGetImage,28889509,success,28889521,iPSsimulation/results/2024-11-13_real_round3/step_00000390/result.csv
IPSExperiment,iPS_Experiment_2,2,1,20,iPSMediumChange,28889519,success,28889537,iPSsimulation/results/2024-11-13_real_round3/step_00000391/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,18,120,LabwareRefill,28889700,success,28889700,iPSsimulation/results/2024-11-13_real_round3/step_00000392/result.csv
IPSExperiment,iPS_Experiment_0,1,2,10,iPSGetImage,28890147,success,28890197,iPSsimulation/results/2024-11-13_real_round3/step_00000394/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28890934,success,28890944,iPSsimulation/results/2024-11-13_real_round3/step_00000395/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28890944,success,28890960,iPSsimulation/results/2024-11-13_real_round3/step_00000396/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28890962,success,28890973,iPSsimulation/results/2024-11-13_real_round3/step_00000397/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28890972,success,28890989,iPSsimulation/results/2024-11-13_real_round3/step_00000398/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,19,120,LabwareRefill,28891140,success,28891140,iPSsimulation/results/2024-11-13_real_round3/step_00000399/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28891626,success,28891271,iPSsimulation/results/2024-11-13_real_round3/step_00000400/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28891636,success,28891287,iPSsimulation/results/2024-11-13_real_round3/step_00000401/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28892385,success,28892396,iPSsimulation/results/2024-11-13_real_round3/step_00000402/result.csv
